,World2018,National2018,World2019,National2019,World2020,National2020,Country,SIZE,FOCUS,RESEARCH INTENSITY,AGE,STATUS,Academic Reputation,Employer Reputation,Faculty Student,Citations per Faculty,International Faculty,International Students,ground_truth
297,249.0,56.0,259.0,57.0,306,59.0,55,0,0,3,5.0,0,0.39812889812889807,0.14984709480122327,0.16000000000000003,0.5080808080808081,0.1509625126646403,0.1717171717171717,0
298,345.0,14.0,314.0,13.0,307,13.0,8,3,1,3,5.0,0,0.21829521829521825,0.2701325178389399,0.42358974358974355,0.5353535353535355,0.19858156028368792,0.10707070707070708,0
299,333.0,20.0,307.0,19.0,308,18.0,15,3,1,3,5.0,0,0.35758835758835755,0.417940876656473,0.2676923076923077,0.19595959595959594,0.5258358662613982,0.37070707070707076,0
300,296.0,38.0,288.0,38.0,309,37.0,54,2,3,3,5.0,0,0.1954261954261954,0.10091743119266056,0.4615384615384615,0.19494949494949496,1.0,1.0,0
301,284.0,4.0,341.0,4.0,310,4.0,21,0,1,3,5.0,0,0.25987525987525983,0.2864424057084608,0.3446153846153846,0.23333333333333336,0.9290780141843973,0.4626262626262626,0
302,304.0,61.0,323.0,63.0,313,60.0,55,3,1,3,5.0,0,0.22243935583657914,0.06924063841767827,0.12604295944018273,0.08532811872534202,0.28465881167305623,0.077247310644534,1
303,312.0,40.0,302.0,39.0,314,38.0,54,1,0,3,4.0,0,-0.22410978272417575,-0.04191947668065865,-0.07903701765141069,0.08059002197562898,0.6512817416035189,0.6088728502584574,1
304,335.0,2.0,380.0,2.0,315,2.0,50,0,1,3,4.0,0,0.3648648648648648,0.3190621814475026,0.604102564102564,0.05757575757575758,0.07700101317122594,0.0494949494949495,0
305,246.0,11.0,266.0,11.0,316,13.0,6,0,0,3,4.0,0,0.20686070686070682,0.21508664627930685,0.04,0.5505050505050506,0.9159067882472138,0.9141414141414143,0
306,389.0,24.0,340.0,23.0,317,19.0,15,1,2,3,5.0,0,0.1476091476091476,0.6289500509683996,0.043076923076923075,0.7595959595959597,0.3434650455927052,0.27070707070707073,0
307,274.0,36.0,269.0,36.0,318,39.0,54,0,1,0,4.0,0,0.16008316008316006,0.07033639143730888,0.362051282051282,0.47373737373737373,0.8095238095238096,0.7080808080808081,0
308,288.0,18.0,300.0,18.0,319,20.0,15,3,1,3,5.0,0,0.1923076923076923,0.17737003058103978,0.00923076923076923,0.9525252525252527,0.26139817629179335,0.24646464646464644,0
309,325.0,19.0,329.0,19.0,320,19.0,1,3,1,3,3.0,0,-0.22097170539147376,-0.24812906741122107,-0.35551085993062825,0.0418162573964892,0.5236006668404731,-0.060203944623712924,1
310,406.0,3.0,391.0,3.0,321,2.0,19,3,1,2,4.0,0,0.38981288981288975,0.35474006116207957,0.5005128205128204,0.006060606060606063,0.42147922998986825,0.015151515151515154,0
311,340.0,10.0,315.0,9.0,322,9.0,45,2,2,3,3.0,0,0.07484407484407485,0.020387359836901122,0.35179487179487173,1.0,0.08915906788247215,0.06262626262626264,0
312,382.0,9.0,344.0,8.0,323,7.0,41,3,2,3,3.0,0,0.1954261954261954,0.31702344546381245,0.9466666666666667,0.011111111111111112,0.08409321175278622,0.15858585858585858,0
313,379.0,4.0,343.0,4.0,324,4.0,11,0,1,3,3.0,0,0.1424116424116424,0.3119266055045872,0.4328205128205128,0.42929292929292934,0.6940222897669707,0.30101010101010106,0
314,287.0,7.0,303.0,7.0,325,7.0,47,0,0,3,4.0,0,0.16528066528066526,0.2344546381243629,0.38769230769230767,0.5101010101010102,0.6545086119554205,0.1696969696969697,0
315,342.0,66.0,304.0,60.0,326,61.0,55,0,1,3,5.0,0,0.13305613305613304,0.07543323139653416,0.5794871794871794,0.4636363636363637,0.6089159067882473,0.19191919191919193,0
316,371.0,70.0,342.0,66.0,327,62.0,55,3,1,3,5.0,0,0.26715176715176714,0.35677879714576965,0.281025641025641,0.36767676767676766,0.43059777102330293,0.28585858585858587,0
317,308.0,39.0,306.0,40.0,328,40.0,54,1,2,3,5.0,0,0.11018711018711017,0.034658511722731905,0.2082051282051282,0.595959595959596,0.9604863221884499,0.9686868686868688,0
318,375.0,8.0,330.0,7.0,329,8.0,41,1,2,3,4.0,0,0.06237006237006237,0.1304791029561672,0.9753846153846154,0.05757575757575758,0.4549138804457954,0.7383838383838385,0
319,390.0,1.0,350.0,2.0,330,2.0,53,1,1,0,3.0,0,0.1725571725571725,0.2579001019367992,0.5702564102564103,0.10909090909090911,1.0,0.4787878787878788,0
320,331.0,2.0,359.0,2.0,331,3.0,19,0,0,3,4.0,0,0.36902286902286896,0.38634046890927626,0.5005128205128204,0.027272727272727275,0.2826747720364742,0.006060606060606063,0
321,299.0,9.0,319.0,10.0,332,10.0,45,0,1,0,5.0,1,0.1933471933471933,0.1488277268093782,0.8225641025641026,0.12424242424242428,0.09321175278622088,0.36262626262626263,0
322,289.0,6.0,308.0,7.0,333,7.0,49,1,0,3,4.0,0,0.25987525987525983,0.09683995922528033,0.7005128205128205,0.10101010101010102,0.1398176291793313,0.48484848484848486,0
323,322.0,12.0,321.0,12.0,334,12.0,24,0,1,3,4.0,0,0.211018711018711,0.07951070336391437,0.8369230769230769,0.14545454545454548,0.12664640324214793,0.16262626262626265,0
324,353.0,68.0,345.0,67.0,336,63.0,55,0,1,3,5.0,1,0.24740124740124736,0.2466870540265036,0.3528205128205128,0.31212121212121213,0.3667679837892604,0.5252525252525253,0
325,376.0,9.0,310.0,9.0,337,10.0,46,0,0,3,4.0,0,0.1975051975051975,0.16106014271151886,0.803076923076923,0.17474747474747476,0.045592705167173245,0.17979797979797982,0
326,461.0,2.0,411.0,2.0,338,1.0,38,3,1,0,5.0,0,0.31185031185031176,0.3832823649337411,0.5825641025641025,0.05555555555555556,0.035460992907801414,0.1676767676767677,0
327,306.0,2.0,358.0,2.0,339,1.0,39,3,1,3,1.0,0,0.38149688149688143,0.26707441386340475,0.13435897435897437,0.3757575757575758,0.06788247213779129,0.3181818181818182,0
328,338.0,8.0,339.0,8.0,340,8.0,47,0,1,3,4.0,0,0.5918043993456368,0.5083147699844477,1.2482285157697532,0.6834421909834284,0.7257252034792068,0.5622300697713072,1
329,358.0,22.0,335.0,22.0,342,21.0,15,1,0,3,4.0,0,0.041580041580041575,0.05198776758409786,0.8246153846153846,0.36565656565656574,0.4812563323201621,0.27474747474747474,0
