,Name,Position1,Position2,Age,Matches,Starts,Mins,Goals,Assists
453,Bobby Reid,MF,DF,27,33,28,2372,5,2
454,Ivan Cavaleiro,FW,MF,26,36,27,2472,3,0
455,Harrison Reed,MF,MF,25,31,26,2247,0,2
456,Antonee Robinson,DF,DF,22,28,24,2162,0,0
457,Ruben Loftus-Cheek,MF,FW,24,30,21,1909,1,0
458,Mario Lemina,MF,MF,26,28,19,1703,1,0
459,Kenny Tete,DF,DF,24,22,18,1481,0,1
460,Aleksandar Mitrović,FW,FW,25,27,13,1402,3,3
461,Josh Maja,FW,MF,21,15,9,810,3,0
462,Tom Cairney,MF,MF,29,10,9,759,1,1
463,Joe Bryan,DF,FW,26,16,7,669,1,0
464,Tim Ream,DF,DF,32,7,7,630,0,0
465,Josh Onomah,MF,MF,23,11,4,374,0,0
466,Denis Odoi,DF,DF,32,3,3,270,0,0
467,Michael Hector,DF,DF,28,4,3,263,0,0
468,Fabio Carvalho,MF,FW,17,4,3,255,1,0
469,Aboubakar Kamara,FW,DF,25,11,2,315,0,0
470,Marek Rodák,GK,GK,23,2,2,180,0,0
471,Maxime Le Marchand,DF,DF,30,2,1,123,0,0
472,Neeskens Kebano,FW,MF,28,5,1,119,0,0
473,Terence Kongolo,DF,DF,26,1,1,90,0,0
474,Tyrese Francois,DF,DF,20,1,0,15,0,0
475,Sam Johnstone,GK,GK,27,37,37,3330,0,1
476,Darnell Furlong,DF,DF,24,35,32,2932,1,3
477,Semi Ajayi,DF,DF,26,33,31,2780,2,0
478,Matheus Pereira,MF,FW,24,33,30,2577,11,6
479,Kyle Bartley,DF,DF,29,30,28,2584,3,1
480,Conor Gallagher,MF,MF,20,30,28,2531,2,2
481,Conor Townsend,DF,DF,27,25,25,2234,0,2
482,Dara O'Shea,DF,DF,21,28,25,2102,0,0
483,Matt Phillips,MF,MF,29,33,20,1828,2,1
484,Callum Robinson,FW,MF,25,28,20,1560,5,0
485,Romaine Sawyers,MF,MF,28,19,17,1487,0,0
486,Okay Yokuşlu,MF,MF,26,16,15,1317,0,1
487,Jake Livermore,MF,MF,30,18,15,1242,0,0
488,Grady Diangana,MF,FW,22,20,15,1235,1,0
489,Ainsley Maitland-Niles,MF,MF,22,15,14,1230,0,0
490,Mbaye Diagne,FW,FW,28,16,14,1189,3,2
491,Karlan Grant,FW,MF,22,21,14,1127,1,0
492,Kieran Gibbs,DF,DF,30,10,9,809,0,0
493,Branislav Ivanović,DF,DF,36,13,8,767,0,0
494,Robert Snodgrass,MF,FW,32,8,6,526,0,0
495,Filip Krovinović,MF,MF,24,11,5,546,0,0
496,Lee Peltier,DF,DF,33,4,3,229,0,0
497,Hal Robson-Kanu,FW,FW,31,19,2,561,2,0
498,Kamil Grosicki,FW,MF,32,3,2,148,0,1
499,Kyle Edwards,MF,FW,22,5,1,118,0,0
500,David Button,GK,GK,31,1,1,90,0,0
501,Ahmed Hegazi,DF,DF,29,1,1,90,0,0
502,Charlie Austin,FW,FW,31,5,0,138,0,0
503,Sam Field,MF,MF,22,3,0,62,0,0
504,Rekeem Harper,MF,MF,20,2,0,32,0,0
505,Aaron Ramsdale,GK,GK,22,38,38,3420,0,0
506,George Baldock,DF,DF,27,32,32,2787,0,2
507,Chris Basham,DF,MF,32,31,31,2576,0,1
508,Enda Stevens,DF,DF,30,30,30,2700,0,1
509,John Egan,DF,DF,27,31,30,2629,0,1
510,John Fleck,MF,MF,28,31,29,2575,0,2
511,David McGoldrick,FW,MF,32,35,28,2397,8,1
512,Oliver Norwood,MF,MF,29,32,26,2220,0,0
513,Ethan Ampadu,DF,MF,19,25,23,2089,0,0
514,John Lundstram,MF,MF,26,28,23,2032,0,2
515,Ben Osborn,MF,DF,25,24,17,1604,1,0
516,Oliver Burke,FW,FW,23,25,14,1269,1,1
517,Sander Berge,MF,MF,22,15,13,1120,1,1
518,Oliver McBurnie,FW,FW,24,23,12,1324,1,0
519,Rhian Brewster,FW,FW,20,27,12,1128,0,0
520,Jayden Bogle,DF,DF,20,16,12,1110,2,0
521,Kean Bryan,DF,DF,23,13,12,1004,1,0
522,Jack Robinson,DF,DF,26,11,9,877,0,1
523,Billy Sharp,FW,FW,34,16,7,735,3,0
524,Max Lowe,DF,DF,23,8,7,550,0,0
525,Phil Jagielka,DF,DF,37,10,6,526,0,0
526,Daniel Jebbison,FW,FW,17,4,3,284,1,0
527,Lys Mousset,FW,MF,24,11,2,296,0,0
528,Jack O'Connell,DF,DF,26,2,2,180,0,0
529,Iliman Ndiaye,MF,MF,21,1,0,12,0,0
530,Antwoine Hackford,DF,FW,16,1,0,11,0,0
531,Femi Seriki,DF,DF,17,1,0,1,0,0
